NO,FEATURE CODE,FEATURE NAME,NAME,TYPE,STATE,LAT,LONG
1,BJ0330,Petrol Station,SHELL Sungai Pelek,SHELL,Selangor,2.64223,101.716
2,BJ0330,Petrol Station,ESSO Sungai Pelek,PETRON,Selangor,2.64567,101.721
3,BJ0330,Petrol Station,PETRONAS Tanjung Sepat,PETRONAS,Selangor,2.66152,101.562
4,BJ0330,Petrol Station,SHELL Tanjung Sepat,SHELL,Selangor,2.66714,101.538
5,BJ0330,Petrol Station,SHELL Sepang,SHELL,Selangor,2.69124,101.752
6,BJ0330,Petrol Station,PETRONAS Jalan Pekeliling,PETRONAS,Selangor,2.75828,101.725
7,BJ0330,Petrol Station,PETRONAS KLIA Highway (N),PETRONAS,Selangor,2.76467,101.684
8,BJ0330,Petrol Station,PETRONAS KLIA Highway (S),PETRONAS,Selangor,2.76548,101.685
9,BJ0330,Petrol Station,CALTEX Klia,CALTEX,Selangor,2.76785,101.696
10,BJ0330,Petrol Station,PETRONAS Salak,PETRONAS,Selangor,2.78366,101.751
11,BJ0330,Petrol Station,PETRONAS Kanchong Darat,PETRONAS,Selangor,2.79068,101.486
12,BJ0330,Petrol Station,PETRONAS Banting,PETRONAS,Selangor,2.80128,101.493
13,BJ0330,Petrol Station,ESSO Jalan Negeri-B20 (W),PETRON,Selangor,2.80525,101.725
14,BJ0330,Petrol Station,SHELL Jalan Negeri-B20 (W),SHELL,Selangor,2.80531,101.724
15,BJ0330,Petrol Station,PETRONAS (NGV) Bandar Baru Salak Tinggi,PETRONAS,Selangor,2.80634,101.716
16,BJ0330,Petrol Station,MOBIL Salak Tinggi,MOBIL,Selangor,2.80673,101.75
17,BJ0330,Petrol Station,SHELL Banting,SHELL,Selangor,2.81308,101.502
18,BJ0330,Petrol Station,ESSO Banting,PETRON,Selangor,2.81334,101.503
19,BJ0330,Petrol Station,CALTEX Banting,CALTEX,Selangor,2.81366,101.504
20,BJ0330,Petrol Station,MOBIL Banting,MOBIL,Selangor,2.81389,101.506
21,BJ0330,Petrol Station,SHELL Banting,SHELL,Selangor,2.81434,101.506
22,BJ0330,Petrol Station,PETRONAS Bukit Changgang,PETRONAS,Selangor,2.81522,101.64
23,BJ0330,Petrol Station,SHELL Kota Warisan,SHELL,Selangor,2.81694,101.694
24,BJ0330,Petrol Station,BHP Bukit Changgang,BHP,Selangor,2.82647,101.633
25,BJ0330,Petrol Station,PETRONAS Sungai Manggis,PETRONAS,Selangor,2.82771,101.53
26,BJ0330,Petrol Station,PETRONAS,PETRONAS,Selangor,2.83312,101.607
27,BJ0330,Petrol Station,SHELL Dengkil,SHELL,Selangor,2.8584,101.678
28,BJ0330,Petrol Station,PETRONAS Dengkil,PETRONAS,Selangor,2.86095,101.678
29,BJ0330,Petrol Station,BHP Jenjarom,BHP,Selangor,2.86434,101.509
30,BJ0330,Petrol Station,CALTEX Jenjarom,CALTEX,Selangor,2.86895,101.505
31,BJ0330,Petrol Station,SHELL Jenjarom,SHELL,Selangor,2.87608,101.5
32,BJ0330,Petrol Station,ESSO Jenjarom,PETRON,Selangor,2.88221,101.494
33,BJ0330,Petrol Station,SHELL Jenjarom,SHELL,Selangor,2.88376,101.493
34,BJ0330,Petrol Station,PETRONAS Jenjarom,PETRONAS,Selangor,2.88503,101.492
35,BJ0330,Petrol Station,PETRONAS Bandar Seri Putra,PETRONAS,Selangor,2.88724,101.793
36,BJ0330,Petrol Station,SHELL RSA Dengkil (S),SHELL,Selangor,2.90183,101.616
37,BJ0330,Petrol Station,ESSO Rsa Dengkil (S),PETRON,Selangor,2.90204,101.616
38,BJ0330,Petrol Station,SHELL Teluk Panglima Garang,SHELL,Selangor,2.90854,101.468
39,BJ0330,Petrol Station,CALTEX RSA Dengkil (N),CALTEX,Selangor,2.91047,101.609
40,BJ0330,Petrol Station,PETRONAS RSA Dengkil (N),PETRONAS,Selangor,2.9106,101.609
41,BJ0330,Petrol Station,PETRONAS Cyberjaya,PETRONAS,Selangor,2.91931,101.659
42,BJ0330,Petrol Station,SHELL IT Cyberjaya,SHELL,Selangor,2.92554,101.661
43,BJ0330,Petrol Station,PETRONAS Sijangkang,PETRONAS,Selangor,2.92646,101.474
44,BJ0330,Petrol Station,"SHELL Presint 8, Putrajaya",SHELL,Selangor,2.93288,101.679
45,BJ0330,Petrol Station,PETRONAS Precint 16,PETRONAS,Selangor,2.93397,101.708
46,BJ0330,Petrol Station,PETRONAS Bangi Section 15,PETRONAS,Selangor,2.93444,101.768
47,BJ0330,Petrol Station,"PETRONAS (NGV) Precint 9, Putrajaya",PETRONAS,Selangor,2.93603,101.673
48,BJ0330,Petrol Station,ESSO Semenyih,PETRON,Selangor,2.93822,101.851
49,BJ0330,Petrol Station,PETRONAS Bandar Baru Bangi 3,PETRONAS,Selangor,2.93914,101.775
50,BJ0330,Petrol Station,PETRONAS Precint 9,PETRONAS,Selangor,2.94026,101.674
51,BJ0330,Petrol Station,MOBIL Sijangkang,MOBIL,Selangor,2.94137,101.471
52,BJ0330,Petrol Station,PETRONAS Bandar Baru Bangi,PETRONAS,Selangor,2.94242,101.768
53,BJ0330,Petrol Station,PETRONAS Sungai Merab,PETRONAS,Selangor,2.94292,101.74
54,BJ0330,Petrol Station,"SHELL Seksyen 6, Bandar Baru Bangi",SHELL,Selangor,2.94333,101.765
55,BJ0330,Petrol Station,PETRONAS Semenyih,PETRONAS,Selangor,2.94485,101.848
56,BJ0330,Petrol Station,CALTEX Sijangkang,CALTEX,Selangor,2.94749,101.471
57,BJ0330,Petrol Station,MOBIL Westport,MOBIL,Selangor,2.95221,101.31
58,BJ0330,Petrol Station,BHP,BHP,Selangor,2.95586,101.844
59,BJ0330,Petrol Station,PETRONAS Bandar Baru Bangi,PETRONAS,Selangor,2.95755,101.779
60,BJ0330,Petrol Station,SHELL Bandar Baru Bangi,SHELL,Selangor,2.95757,101.756
61,BJ0330,Petrol Station,SHELL Bandar Baru Bangi,SHELL,Selangor,2.95762,101.756
62,BJ0330,Petrol Station,PETRONAS Precint 11,PETRONAS,Selangor,2.95747,101.685
63,BJ0330,Petrol Station,"PETRONAS (NGV) Seksyen 9, Bangi",PETRONAS,Selangor,2.96124,101.751
64,BJ0330,Petrol Station,SHELL,SHELL,Selangor,2.96229,101.837
65,BJ0330,Petrol Station,PETRONAS (NGV)  Semenyih Sunway,PETRONAS,Selangor,2.96416,101.837
66,BJ0330,Petrol Station,"SHELL Seksyen 5, BBB",SHELL,Selangor,2.96444,101.791
67,BJ0330,Petrol Station,SHELL Bandar Baru Bangi,SHELL,Selangor,2.96783,101.774
68,BJ0330,Petrol Station,PETRONAS Reko,PETRONAS,Selangor,2.96895,101.789
69,BJ0330,Petrol Station,"SHELL Seksyen 10, Bangi",SHELL,Selangor,2.96955,101.749
70,BJ0330,Petrol Station,"MOBIL Seksyen 10, Bangi",MOBIL,Selangor,2.96991,101.749
71,BJ0330,Petrol Station,PETRONAS Research Centre,PETRONAS,Selangor,2.97146,101.739
72,BJ0330,Petrol Station,PETRONAS (NGV) Persiaran Jaya Bangi,PETRONAS,Selangor,2.97259,101.751
73,BJ0330,Petrol Station,"SHELL Seksyen 10, Bangi",SHELL,Selangor,2.97495,101.75
74,BJ0330,Petrol Station,SHELL Johan Setia,SHELL,Selangor,2.97564,101.46
75,BJ0330,Petrol Station,SHELL Johan Setia,SHELL,Selangor,2.97566,101.46
76,BJ0330,Petrol Station,SHELL,SHELL,Selangor,2.97659,101.827
77,BJ0330,Petrol Station,SHELL Bandar Teknologi,SHELL,Selangor,2.97667,101.827
78,BJ0330,Petrol Station,ESSO Bangi Section 10,PETRON,Selangor,2.97671,101.75
79,BJ0330,Petrol Station,SHELL Johan Setia,SHELL,Selangor,2.97682,101.459
80,BJ0330,Petrol Station,PETRONAS Bayuemas,PETRONAS,Selangor,2.9785,101.452
81,BJ0330,Petrol Station,PETRONAS Johan Setia,PETRONAS,Selangor,2.9786,101.458
82,BJ0330,Petrol Station,PETRONAS Meranti Jaya,PETRONAS,Selangor,2.9791,101.613
83,BJ0330,Petrol Station,SHELL Sungai Ramal,SHELL,Selangor,2.97974,101.758
84,BJ0330,Petrol Station,PETRONAS Silk (W),PETRONAS,Selangor,2.98096,101.744
85,BJ0330,Petrol Station,ESSO Puchong,PETRON,Selangor,2.98096,101.652
86,BJ0330,Petrol Station,PETRONAS Puchong Gateway,PETRONAS,Selangor,2.98167,101.649
87,BJ0330,Petrol Station,SHELL Bukit Puchong,SHELL,Selangor,2.98251,101.636
88,BJ0330,Petrol Station,PETRONAS Putra Permai,PETRONAS,Selangor,2.98369,101.667
89,BJ0330,Petrol Station,PETRONAS Taman Pendamar Indah,PETRONAS,Selangor,2.98343,101.425
90,BJ0330,Petrol Station,SHELL Taman Asa Jaya,SHELL,Selangor,2.9853,101.814
91,BJ0330,Petrol Station,PETRONAS Kota Kemuning,PETRONAS,Selangor,2.9856,101.543
92,BJ0330,Petrol Station,PETRONAS Reko (N),PETRONAS,Selangor,2.98766,101.79
93,BJ0330,Petrol Station,PETRONAS Pendamar Indah,PETRONAS,Selangor,2.98678,101.418
94,BJ0330,Petrol Station,BHP Puchong Bt 14,BHP,Selangor,2.98753,101.623
95,BJ0330,Petrol Station,SHELL Putra Permai,SHELL,Selangor,2.98849,101.671
96,BJ0330,Petrol Station,PETRONAS (NGV) Bt 14 Puchong,PETRONAS,Selangor,2.98875,101.623
97,BJ0330,Petrol Station,SHELL Selat Selatan,SHELL,Selangor,2.98871,101.42
98,BJ0330,Petrol Station,ESSO Putra Permai,PETRON,Selangor,2.9894,101.673
